ticket_id,subject,priority,ticket_type,created_at,account_tier,issue_type,company_name
4065939,Admin,1,,2024-12-01T01:54:04+05:30,,,
4065940,Admin,1,,2024-12-01T01:54:10+05:30,,,
4065997,1st Dec - India Campaign - Non - Active (Website Promotion),3,Campaign Execution,2024-12-01T08:00:24+05:30,,,
4066000,1st Dec - India Campaign - Active (Website Promotion),3,Campaign Execution,2024-12-01T08:02:13+05:30,,,
4066033,Required campaign wise report for Nov'24: Hyundai Motor (hyundaicee),1,CpaaS - Billing Reports Request,2024-12-01T09:47:55+05:30,,,
4066046,AXIS || CHUB || REQUEST COUNT FOR NETCORE (28-NOV-24 ),1,CpaaS - Reports request,2024-12-01T10:09:45+05:30,,,
4066047,1st Dec - Global Campaign - Active (Website Promotion),3,Campaign Execution,2024-12-01T10:10:21+05:30,,,
4066048,Uco Bank - Submit Monthly Invoices in first week of the month,1,CpaaS - Billing Reports Request,2024-12-01T10:12:03+05:30,,,
4066052,1st Dec - Global Campaign - Non - Active (Website Promotion),3,Campaign Execution,2024-12-01T10:12:25+05:30,,,
4066075,Issue with web message - OMillionairecee,3,CEE - Campaign issue,2024-12-01T10:35:11+05:30,,,
4066078,SMS & Email | Invoices & Logs | November’ 2024 | Netcore,1,Setup - Info/Update,2024-12-01T10:48:33+05:30,,,
4066079,SMS & Email | Invoices & Logs | November’ 2024 | Netcore,4,,2024-12-01T10:48:34+05:30,,,
4066096,Facing issue while downloading the SMS report,1,CEE - Customer queries,2024-12-01T11:33:30+05:30,,,
4066097,netcore,1,CEE - Non Relevant,2024-12-01T11:35:01+05:30,,,
4066114,Website Revamping Discussion,1,,2024-12-01T12:17:19+05:30,,,
4066122,Re: Last working day at Netcore for Aditya Shankar (SDR (US) on : 30/11/24,1,CEE - Non Relevant,2024-12-01T12:34:51+05:30,,,
4066128,Alerts Longcode : 9594366662,1,CpaaS - SC/LC Issue,2024-12-01T13:00:14+05:30,,,
4066133,1st Dec Newsletter - Only Campaign,4,Campaign Execution,2024-12-01T13:13:18+05:30,,,
4066167,Live feed dashboard,2,CpaaS - Delivery Cust Info,2024-12-01T15:30:21+05:30,,,
4066171,SMS ( Not Delivering ) URGENT,3,CEE - Journey issue,2024-12-01T15:47:14+05:30,,,
4066181,Order # :OR - 0091877 has been submitted for approval from Country India,1,,2024-12-01T16:43:30+05:30,,,
4066182,Order # :OR - 0091878 has been submitted for approval from Country India,1,Setup - Panel Creation,2024-12-01T16:44:45+05:30,,,
4066185,Order # :OR - 0091879 has been submitted for approval from Country India,1,,2024-12-01T16:46:15+05:30,,,
4066186,Order # :OR - 0091880 has been submitted for approval from Country India,1,,2024-12-01T16:47:27+05:30,,,
4066187,Order # :OR - 0091881 has been submitted for approval from Country India,1,,2024-12-01T16:48:42+05:30,,,
4066188,Order # :OR - 0091882 has been submitted for approval from Country India,1,,2024-12-01T16:49:39+05:30,,,
4066189,Order # :OR - 0091883 has been submitted for approval from Country India,1,,2024-12-01T16:51:06+05:30,,,
4066190,Order # :OR - 0091884 has been submitted for approval from Country India,1,,2024-12-01T16:52:06+05:30,,,
4066191,Order # :OR - 0091885 has been submitted for approval from Country India,1,Setup - Info/Update,2024-12-01T16:53:05+05:30,,,
4066192,Order # :OR - 0091886 has been submitted for approval from Country India,1,,2024-12-01T16:54:20+05:30,,,
4066193,Order # :OR - 0091887 has been submitted for approval from Country India,1,,2024-12-01T16:55:10+05:30,,,
4066195,Order # :OR - 0091888 has been submitted for approval from Country India,1,,2024-12-01T16:56:03+05:30,,,
4066196,Order # :OR - 0091889 has been submitted for approval from Country India,1,,2024-12-01T16:56:58+05:30,,,
4066202,IP media CEE,4,CEE - Journey issue,2024-12-01T17:23:11+05:30,,,
4066206,Ujjivan SFB | Web PX,1,WEB - PX - Integration,2024-12-01T17:35:33+05:30,,,
4066219,Domain Approval + SSL + Webhook 2.0 for FYVA,1,CpaaS - Tasks,2024-12-01T18:42:57+05:30,,,
4066225,We Value Your Feedback! Help Us Improve,1,CpaaS - Non Relevant,2024-12-01T19:24:35+05:30,,,
4066227,Alert for DLT URL Failure error : 2024-12-01 19:20:01,1,CpaaS - Non Relevant,2024-12-01T19:32:57+05:30,,,
4066229,Fw: SOC1 report,1,,2024-12-01T19:52:44+05:30,,,
4066230,Event | Hygeine| Mailer| 2nd Dec 4pm,1,Campaign Execution,2024-12-01T19:57:25+05:30,,,
4066231,Event | Hygeine| Mailer| 3rd Dec 4pm - Regular,1,Campaign Execution,2024-12-01T19:57:27+05:30,,,
4066233,Alerts Longcode : 9594366662,1,CpaaS - SC/LC Configuration,2024-12-01T20:00:10+05:30,,,
4066235,Can you be my partner?,1,CpaaS - Non Relevant,2024-12-01T20:22:20+05:30,,,
4066237,Alert for DLT URL Failure error : 2024-12-01 20:20:01,1,CpaaS - Non Relevant,2024-12-01T20:34:14+05:30,,,
4066238,please enable smartechwo,1,Not Set,2024-12-01T20:38:11+05:30,,,
4066241,Alerts Longcode : 9594366662,1,CpaaS - SC/LC Configuration,2024-12-01T21:00:10+05:30,,,
4066244,Out of office Re: IndusInd Bank Daily OTP SMS Reports for Corporate Channels Date : 2024-12-01,1,CpaaS - Non Relevant,2024-12-01T21:01:31+05:30,,,
4066245,Delivery Status Notification (Failure),1,CpaaS - Non Relevant,2024-12-01T21:01:54+05:30,,,
4066250,Alert for DLT URL Failure error : 2024-12-01 21:20:01,1,CpaaS - Non Relevant,2024-12-01T21:34:46+05:30,,,
4066253,Alerts Longcode : 9594366662,1,CpaaS - SC/LC Configuration,2024-12-01T22:00:10+05:30,,,
4066255,Password Reset,1,Not Set,2024-12-01T22:03:33+05:30,,,
4066258,Alert for DLT URL Failure error : 2024-12-01 22:20:01,1,CpaaS - Non Relevant,2024-12-01T22:35:59+05:30,,,
4066262,Alerts Longcode : 9594366662,1,CpaaS - SC/LC Configuration,2024-12-01T23:00:21+05:30,,,
4066264,{Spam?} [StreetEasy] Re: #1945879 - Are you interested in seeing some interesting pictures of my personal? But for now I will show some pictures. Send the picture now? just c...,1,CpaaS - Non Relevant,2024-12-01T23:11:28+05:30,,,
4066265,{Spam?} [StreetEasy] Re: #1945880 - Are you interested in seeing some interesting pictures of my personal? But for now I will show some pictures. Send the picture now? just c...,1,CpaaS - Non Relevant,2024-12-01T23:12:25+05:30,,,
4066268,Attract 1cr+ HNIs with Special Offer Plans of In-Flight & Airport Advertising,1,CEE - Non Relevant,2024-12-01T23:23:10+05:30,,,
4066269,Alert for DLT URL Failure error : 2024-12-01 23:20:02,1,CpaaS - Non Relevant,2024-12-01T23:26:59+05:30,,,
4066271,{Spam?},1,CpaaS - Non Relevant,2024-12-01T23:43:58+05:30,,,
4066275,Alerts Longcode : 9594366662,1,CpaaS - SC/LC Configuration,2024-12-02T00:00:10+05:30,,,
4066282,Alert for DLT URL Failure error : 2024-12-02 00:20:01,1,CpaaS - Non Relevant,2024-12-02T00:20:12+05:30,,,
4066284,URGENT - Account shows disabled - healoffcee,1,CEE - Non Relevant,2024-12-02T00:43:26+05:30,,,
4066286,URGENT - Account shows disabled - healoffcee,1,CEE - Non Relevant,2024-12-02T00:50:15+05:30,,,
4066287,URGENT - Account shows disabled - healoffcee,1,CEE - Non Relevant,2024-12-02T00:51:22+05:30,,,
4066291,Re: Ticket ID-4050122 - URGENT - Account shows disabled - healoffcee,1,CEE - Non Relevant,2024-12-02T01:02:57+05:30,,,
4066292,Re: [CUSTOM] Kotak LP Hosting and Reporting – 19112024 – Sookshma Secure Debit my Account-November'24,1,CEE - Non Relevant,2024-12-02T01:09:34+05:30,,,
4066294,Alert for DLT URL Failure error : 2024-12-02 01:20:01,1,CpaaS - Non Relevant,2024-12-02T01:20:12+05:30,,,
4066296,FAILED Vodafone report on 20241201,1,CpaaS - Non Relevant,2024-12-02T01:43:04+05:30,,,
4066298,Hey,1,CpaaS - Non Relevant,2024-12-02T01:52:37+05:30,,,
4066301,SUSPENDED CAMPAIGNS,4,CEE - Campaign issue,2024-12-02T02:03:28+05:30,,,
4066302,FAILED Vodafone report on 20241201,1,CpaaS - Non Relevant,2024-12-02T02:13:05+05:30,,,
4066304,Alert for DLT URL Failure error : 2024-12-02 02:20:02,1,CpaaS - Non Relevant,2024-12-02T02:20:11+05:30,,,
4066306,FAILED Vodafone report on 20241201,1,CpaaS - Non Relevant,2024-12-02T02:42:05+05:30,,,
4066311,{Spam?},1,CpaaS - Non Relevant,2024-12-02T03:01:12+05:30,,,
4066313,Alert for DLT URL Failure error : 2024-12-02 03:20:01,1,CpaaS - Non Relevant,2024-12-02T03:20:15+05:30,,,
4066318,Alert for DLT URL Failure error : 2024-12-02 04:20:01,1,CpaaS - Non Relevant,2024-12-02T04:20:14+05:30,,,
4066320,{Spam?},1,CpaaS - Non Relevant,2024-12-02T04:31:13+05:30,,,
4066325,Alert for DLT URL Failure error : 2024-12-02 05:20:01,1,CpaaS - Non Relevant,2024-12-02T05:20:19+05:30,,,
